Alice Blue;Błękit Alicji;Prawie biały odcień błękitu, który kojarzy się z czystym niebem o poranku lub taflą lodu. Nazwany na cześć córki T. Roosevelta.;#f0f8ff;240;248;255
Antique White;Antyczna Biał;Biel z nutą kremowego odcienia, przypomina stare, stylizowane meble lub pożółkłe kartki książek.;#faebd7;250;235;215
Aqua;Aqua;Odcień łączący w sobie błękit i zieleń, przywodzący na myśl tropikalne laguny. Używany w modzie sportowej.;#00ffff;0;255;255
Aquamarine;Akwamarynowy;Barwa inspirowana drogocennym kamieniem szlachetnym. Kojarzy się z przejrzystą wodą i świeżością.;#7fffd4;127;255;212
Azure;Lazurowy;Intensywny błękit nieba w pogodny dzień. Symbolizuje spokój, otwartą przestrzeń i wolność.;#f0ffff;240;255;255
Beige;Beżowy;Neutralny i ponadczasowy kolor, kojarzony z klasyczną elegancją, minimalizmem i spokojem.;#f5f5dc;245;245;220
Bisque;Biszkoptowy;Ciepły, jasnobrązowy kolor o delikatnym, pomarańczowym podtonie. Przypomina odcień pieczonych ciastek.;#ffe4c4;255;228;196
Black;Czarny;Kolor klasyki, elegancji oraz tajemnicy. Symbolizuje siłę, prestiż i formalność, bywa kojarzony z żałobą i mrokiem.;#000000;0;0;0
Blanched Almond;Migdałowy;Jasny, kremowy kolor z lekkim złotawym akcentem, przywołujący na myśl miękkie tkaniny.;#ffebcd;255;235;205
Blue;Niebieski;Jeden z najczęściej występujących kolorów w naturze – od nieba po głębiny oceanów. Jest barwą spokoju i harmonii.;#0000ff;0;0;255
Blue Violet;Purpurowy;Kolor przechodzący pomiędzy chłodnym błękitem a ciepłym fioletem. Barwa tajemniczości i nowoczesności.;#8a2be2;138;43;226
Brown;Brązowy;Ciepły, ziemisty odcień, który symbolizuje stabilność i naturalność. Kojarzony jest z drewnem i przytulnymi wnętrzami.;#a52a2a;165;42;42
Burly Wood;Drzewny;Kolor drewna o subtelnym, złotawym zabarwieniu. Naturalny i przyjazny, wykorzystywany w aranżacji wnętrz.;#deb887;222;184;135
Cadet Blue;Modry Zielony;Zgaszony, lekko szary odcień błękitu, który kojarzy się z wojskowymi mundurami i surowymi pejzażami.;#5f9ea0;95;158;160
Chartreus;Chartreuse;Jaskrawa mieszanka żółci i zieleni, która kojarzy się z młodymi liśćmi i wiosenną świeżością.;#7fff00;127;255;0
Chocolate;Czekoladowy;Głęboki, ciepły brąz, przywodzący na myśl słodycze i gorące napoje. Kojarzony z przytulnością i smakiem.;#d2691e;210;105;30
Coral;Koralowy;Mieszanka różu i pomarańczy, inspirowana kolorami rafy koralowej. Barwa energii i radości.;#ff7f50;255;127;80
Cornflower Blue;Chabrowy;Chłodny, głęboki błękit, inspirowany kolorem polnych kwiatów. Elegancki i klasyczny.;#6495ed;100;149;237
Cornsilk;Jedwab kukurydziany;Jasny, kremowy odcień, przypominający włókna kukurydzy.;#fff8dc;255;248;220
Crimson Red;Karmazynowy;Intensywny, głęboki odcień czerwieni o szlachetnym charakterze. Kojarzony z królewskim ubiorem, pasją i siłą. ;#dc143c;220;20;60
Cyan;Cyjanowy;Neonowy odcień niebieskiego z nutą zieleni, wykorzystywany w druku kolorowym. Przypomina kolor tropikalnych mórz.;#00ffff;0;255;255
Dark Blue;Ciemny Niebieski;Głęboki odcień błękitu, który symbolizuje powagę, autorytet i klasykę. Spotykany w mundurach.;#00008b;0;0;139
Dark Cyan;Ciemny Cyjanowy;Mocniejsza wersja cyjanu, łącząca w sobie elegancję i świeżość.;#008b8b;0;139;139
Dark Goldenrod;Ciemna Złocista Ochra;Złocisto-brązowy odcień, przypominający spękane jesienne liście lub dojrzałe zboże.;#b8860b;184;134;11
Dark Gray;Ciemny Szary;Stonowany i elegancki, symbolizujący nowoczesność i surowy minimalizm. Popularny w aranżacjach wnętrz i motoryzacji.;#a9a9a9;169;169;169
